Mês,Brasil
01/05/22,10.059.259
01/06/22,9.686.423
01/07/22,991.827
01/08/22,996.294
01/09/22,970.433
01/10/22,10.135.957
01/11/22,10.666.694
01/12/22,12.331.739
01/01/23,9.576.611
01/02/23,8.914.835
01/03/23,10.014.438
01/04/23,9.744.855
01/05/23,9.950.874
01/06/23,9.821.743
01/07/23,10.157.403
